Identifiant Museofile,Region administrative,Departement,Commune,Nom officiel du musee,Adresse,Lieu,Code Postal,Telephone,Latitude,Longitude,REF_Deps
M0266,Centre-Val de Loire,Indre-et-Loire,Tours,musee du compagnonnage,"8, rue Nationale",Cloître Saint-Julien,37000,02 47 21 62 20,"47,39627","0,686457",3726105
M0268,Centre-Val de Loire,Indre-et-Loire,Tours,musee archeologique de l'hotel Goüin,"25, rue du Commerce",Hotel Gouin,37000,02 47 31 43 27,"47,395094","0,684809",3726103
M0259,Centre-Val de Loire,Indre-et-Loire,Le Grand Pressigny,musee departemental de prehistoire,Chateau,Au chateau,37350,02 47 94 90 20,"46,921003","0,800711",3711301
M0263,Centre-Val de Loire,Indre-et-Loire,Sainte-Maure-de-Touraine,musee municipal,rue du Chateau,,37800,02 47 65 66 20,"47,111569","0,619769",3722601
M0265,Centre-Val de Loire,Indre-et-Loire,Tours,musee des beaux-arts,18 place François Sicard,,37000,02 47 05 68 73,"47,394698","0,694004",3726102
M0254,Centre-Val de Loire,Indre-et-Loire,Amboise,musee de la poste,40 rue de la Concorde,,37400,02 47 23 47 42,"47,413925","0,985929",3700302
M0255,Centre-Val de Loire,Indre-et-Loire,Chinon,"Le Carroi, musee d'arts et d'histoire","44, rue Haute-Saint-Maurice",Maison des Etats generaux,37500,02 47 93 18 12,"47,167125","0,23767",3707201
M0262,Centre-Val de Loire,Indre-et-Loire,Sache,musee Balzac,rue du chateau,Chateau de Sache,37190,02 47 26 86 50,"47,245703","0,544078",3720501
M0269,Centre-Val de Loire,Indre-et-Loire,Yzeures-sur-Creuse,musee de Minerve,place du Musee,,37290,02 47 94 55 01,"46,785983","0,869839",3728201
M7062,Centre-Val de Loire,Indre-et-Loire,Tours,museum d'histoire naturelle,"3, rue du President-Merville",,37000,02 47 21 66 08,"47,394637","0,68388",3726101
M0261,Centre-Val de Loire,Indre-et-Loire,Richelieu,musee municipal,place du Marche,mairie,37120,02 47 58 10 13,"47,011912","0,324353",3719601
M1088,Centre-Val de Loire,Indre-et-Loire,Savigny-en-Veron,ecomusee du Veron,80 route de Candes,,37420,02 47 58 09 05,"47,209697","0,124427",3724201
M0260,Centre-Val de Loire,Indre-et-Loire,Loches,musee Lansyer,"1, rue Lansyer",,37600,33 02 47 59 05 45,"47,126829","0,997457",3713201
M0264,Centre-Val de Loire,Indre-et-Loire,Seuilly,musee Rabelais,3 La Deviniere,La Deviniere,37500,02 47 95 91 18,"47,140806","0,179096",3724801
M0267,Centre-Val de Loire,Indre-et-Loire,Tours,musee du vin de Touraine,"16, rue Nationale",Celliers Saint-Julien,37000,02 47 61 07 93,"47,393692","0,687373",3726104
M1133,Centre-Val de Loire,Indre-et-Loire,Savigne-sur-Lathan,musee du Savigneen,10 rue du faubourg de la Rue,,37340,02 47 24 95 14,"47,445748","0,319748",3724101
M1183,Centre-Val de Loire,Indre-et-Loire,Loches,musee du terroir,,,37600,,"47,128196","0,994671",3713202
M0286,Centre-Val de Loire,Loiret,Orleans,musee des beaux-arts,Place Sainte-Croix,,45000,02 38 79 21 55,"47,901573","1,90861",4523403
M0287,Centre-Val de Loire,Loiret,Orleans,"hotel Cabu, musee d'histoire et d'archeologie",Square Abbe Desnoyers,Hotel Cabu,45000,02 38 79 25 60,"47,900952","1,905193",4523402
M0289,Centre-Val de Loire,Loiret,Pithiviers,musee municipal,"17, rue de la Couronne",,45300,02 38 30 00 64,"48,172521","2,255004",4525201
M7053,Centre-Val de Loire,Loiret,Orleans,museum d'Orleans pour la biodiversite et l'environnement,2 rue Marcel Proust,,45000,02 38 54 61 05,"47,907734","1,909578",4523401
M0278,Centre-Val de Loire,Loiret,Artenay,musee municipal theatre forain et archeologique,Quartier du Paradis,Ferme du Paradis,45410,02 38 80 09 73,"48,082089","1,879609",4500802
M0281,Centre-Val de Loire,Loiret,Chatillon-Coligny,musee d'art et d'archeologie,2 faubourg du Puyrault,Ancien Hotel-Dieu,45230,02 38 92 50 11,"47,820625","2,844906",4508501
M0283,Centre-Val de Loire,Loiret,Meung-sur-Loire,musee Gaston Coute,22 rue des Remparts,Espace culturel La Monnaye,45130,02.38.22.53.36,"47,825556","1,694889",4520301
M0279,Centre-Val de Loire,Loiret,Beaugency,musee Daniel Vannier,"2, place Dunois",Chateau Dunois,45190,02 38 44 55 23,"47,777611","1,633585",4502801
M0280,Centre-Val de Loire,Loiret,Chateauneuf-sur-Loire,musee de la marine de Loire,1 place Aristide Briand,Ecuries du Chateau,45110,02 38 46 84 46,"47,865212","2,219187",4508201
M0284,Centre-Val de Loire,Loiret,Montargis,musee Girodet,2 rue du Faubourg de la Chaussee,Hotel Durzy,45200,02 38 98 07 81,"47,997528","2,737205",4520802
M0285,Centre-Val de Loire,Loiret,Montargis,musee du Gatinais,"7, rue du Chateau",,45200,02 38 93 45 63,"47,998314","2,729233",4520801
M0282,Centre-Val de Loire,Loiret,Gien,"chateau-musee de Gien : chasse, histoire et nature en Val de Loire",Esplanade du Chateau,Chateau,45500,02 38 67 69 69,"47,68592","2,630092",4515501
M1083,Centre-Val de Loire,Loir-et-Cher,Blois,maison de la magie,"1 bis, place du Chateau",,41000,02 54 90 33 33,"47,586566","1,332917",4101804
M0275,Centre-Val de Loire,Loir-et-Cher,Romorantin-Lathenay,musee de Sologne,,Moulin du Chapïtre,41206,02 54 95 33 66,"47,3573233629","1,743688267",4119401
M0276,Centre-Val de Loire,Loir-et-Cher,Thesee,musee archeologique,Parc du Vaulx Saint-Georges,la Mairie,41140,02 54 71 00 88,"47,3284903865","1,3065550554",4125801
M0273,Centre-Val de Loire,Loir-et-Cher,Mer,musee de la Corbilliere,Parc de la Corbilliere,Gentilhommiere de la Corbilliere,41500,02 54 81 70 21,"47,697723","1,503586",4113601
M0277,Centre-Val de Loire,Loir-et-Cher,Vendome,musee municipal,,Cloître de la Trinite,41100,02 54 89 44 50,"47,792111","1,064507",4126901
M0274,Centre-Val de Loire,Loir-et-Cher,Naveil,atelier musee Louis Leygue,rue des Venages,,41100,02 54 77 26 13,"47,795395","1,04019",4115801
M7024,Centre-Val de Loire,Loir-et-Cher,Blois,museum d'histoire naturelle,rue Anne de Bretagne,Les Jacobins,41000,02 54 90 21 00,"47,585122","1,33302",4101805
M0271,Centre-Val de Loire,Loir-et-Cher,Blois,chateau musees,6 place du chateau,Chateau de Blois,41000,02 54 90 33 33,"47,585598","1,331665",4101801
M0325,Corse,Corse du Sud,Ajaccio,musee napoleonien,,,20000,,"41,92499","8,735937",2A00401
M0324,Corse,Corse du Sud,Ajaccio,musee palais Fesch,"50-52, rue Cardinal Fesch",palais,20000,04 95 26 26 26,"41,922406","8,738487",2A00403
M0326,Corse,Corse du Sud,Levie,musee de l'Alta-Rocca,Quartier Prato,,20170,04 95 78 46 34 / 47 98,"41,704223","9,125161",2A14201
M5046,Corse,Corse du Sud,Ajaccio,musee national de la maison Bonaparte,Rue saint Charles,Rue Saint-Charles,20000,04 95 21 43 89,"41,917701","8,73795",2A00402
M0327,Corse,Corse du Sud,Sartene,musee de prehistoire corse,Bd Jacques NICOLAI,Ancienne Maison d'Arrêt,20100,04 95 77 01 09,"41,620485","8,973941",2A27201
M0328,Corse,Haute-Corse,Aleria,musee Jerome Carcopino,,Fort de Matra,20270,04 95 57 00 92,"42,113417","9,512108",2B00901
M0331,Corse,Haute-Corse,Morosaglia,musee Pascal Paoli,,Hameau de Stretta,20261,04 95 61 04 97,"42,437888157","9,3093538239",2B16901
M0330,Corse,Haute-Corse,Corte,musee de la Corse,La Citadelle,,20250,04 95 45 25 45,"42,307888","9,14766",2B09601
M1184,Corse,Haute-Corse,Lucciana,musee archeologique de Mariana - Prince Rainier III de Monaco,1045 Corsu Lucciana,CS30026,20290,04 95 30 14 30,"42,542773","9,442618",2B14801
M0329,Corse,Haute-Corse,Bastia,musee d'ethnographie corse,La Citadelle,Palais des Gouverneurs Gênois,20200,04 95 31 09 12,"42,693145","9,450578",2B03301
M0290,Grand Est,Ardennes,Bazeilles,musee de la maison de la derniere cartouche,12 Avenue de la Derniere Cartouche,,08140,03 24 27 15 86,"49,681745","4,975035",0805301
M0291,Grand Est,Ardennes,Charleville-Mezieres,musee Arthur Rimbaud,Quai Arthur Rimbaud,Vieux-Moulin,08000,03 24 32 44 65,"49,776034","4,720613",0810501
M0296,Grand Est,Ardennes,Sedan,musee du chateau-fort,Chateau fort,Chateau,08200,03 24 29 98 80,"49,695347","4,919074",0840901
M0292,Grand Est,Ardennes,Charleville-Mezieres,musee de l'Ardenne,31 place Ducale,,08000,03 24 32 44 60,"49,773836","4,721238",0810503
M0293,Grand Est,Ardennes,Givet,musee,s'adresser a la mairie,,08600,,"50,1365822914","4,8245273131",0819001
M0295,Grand Est,Ardennes,Rethel,musee du Rethelois et du Porcien,,,08300,03 52 10 01 00,"49,509328","4,366447",0836201
M0294,Grand Est,Ardennes,Mouzon,musee du feutre,Place du Colombier,Mairie,08210,03 24 26 10 63,"49,605919","5,074601",0831101
M0297,Grand Est,Aube,Bar-sur-Aube,musee municipal,Place Carnot,s'adresser a la mairie,10200,,"48,233206","4,705996",1003301
M0300,Grand Est,Aube,Mussy-sur-Seine,musee de la Resistance de l'Aube,6 Rue Boursault,,10250,03 25 38 42 08,"47,977352","4,498923",1026101
M0301,Grand Est,Aube,Nogent-sur-Seine,musee Camille Claudel,10 rue Gustave Flaubert,,10400,03 25 24 76 34,"48,494242","3,500892",1026801
M0303,Grand Est,Aube,Troyes,musee des beaux-arts et d'archeologie,Rue Chrestien de Troyes,Abbaye Saint-Loup,10000,03 25 42 20 09,"48,300638","4,08003",1038704
M0306,Grand Est,Aube,Troyes,maison de l'outil et de la pensee ouvriere,7 rue de La Trinite,Hotel de Mauroy,10000,03 25 73 28 26,"48,29473","4,072849",1038705
M0299,Grand Est,Aube,Brienne-le-Chateau,musee Napoleon 1er,"34, rue de l'Ecole Militaire",,10500,03 25 92 82 41,"48,388915","4,528446",1006401
M0302,Grand Est,Aube,Troyes,musee d'art moderne,14 Place Saint-Pierre,Ancien Evêche,10000,03 25 76 26 81,"48,299643","4,080736",1038706
M0305,Grand Est,Aube,Troyes,pharmacie musee de l'hotel-Dieu,31 Quai des Comtes de Champagne,,10000,03 25 80 98 97,"48,298985","4,078036",1038707
M7073,Grand Est,Aube,Troyes,museum d'histoire naturelle,1 Rue Chrestien de Troyes,Abbaye Saint Loup,10000,03 25 42 20 09,"48,300638","4,08003",1038701
M0304,Grand Est,Aube,Troyes,musee historique de Troyes et de la Champagne,4 rue de Vauluisant,Hotel de Vauluisant,10000,03 25 43 43 20,"48,294239","4,071824",1038702
M0010,Grand Est,Bas-Rhin,Pfaffenhoffen,musee de l'image populaire,"24, rue du Docteur Albert Schweitzer",,67350,03 88 07 80 05,"48,844834","7,611365",6737201
M0011,Grand Est,Bas-Rhin,Reichshoffen,musee historique et industriel - musee du fer,"9, rue Jeanne d'Arc",,67110,03 88 80 34 49 / 03 88 80 89 30,"48,932234","7,664814",6738801
M0014,Grand Est,Bas-Rhin,Strasbourg,musee alsacien,"23, quai Saint-Nicolas",,67000,03 88 52 50 01,"48,579075","7,750484",6748208
M0016,Grand Est,Bas-Rhin,Strasbourg,musee d'art moderne et contemporain de Strasbourg,"1, place Hans Jean Arp",,67000,03 86 98 51 55,"48,579654","7,736231",6748209
M0018,Grand Est,Bas-Rhin,Strasbourg,musee des arts decoratifs,"2, place du Chateau",Palais Rohan,67000,03 88 52 50 08,"48,581229","7,751984",6748204
M0020,Grand Est,Bas-Rhin,Strasbourg,musee historique,"2, rue du Vieux Marche aux Poissons",Musee historique,67000,03 68 98 50 00,"48,580579","7,749714",6748207
M0022,Grand Est,Bas-Rhin,Wissembourg,musee Westercamp,"1-3, rue du Musee",,67160,03 88 54 28 14,"49,038815","7,944344",6754401
M0023,Grand Est,Bas-Rhin,Woerth,musee de la bataille du 6 août 1870,2 rue du Moulin,Chateau-Mairie de Woerth,67360,03 88 09 30 21,"48,938618","7,747992",6755001
M0005,Grand Est,Bas-Rhin,Haguenau,musee historique,"9, rue du Marechal Foch",,67500,03 88 90 29 39,"48,812831","7,791481",6718001
M0012,Grand Est,Bas-Rhin,Saverne,musee du chateau des Rohan,Place du General de Gaulle,Chateau des Rohan,67700,03 88 71 63 95,"48,741958","7,362787",6743701
M0019,Grand Est,Bas-Rhin,Strasbourg,musee des beaux-arts,"2, place du Chateau",Palais Rohan,67000,03 68 98 51 60,"48,581229","7,751984",6748203
M0021,Grand Est,Bas-Rhin,Waldersbach,musee Oberlin,"25, montee Oberlin",,67130,03 88 97 30 27,"48,414759","7,214925",6751301
M0002,Grand Est,Bas-Rhin,Betschdorf,musee de la poterie,2 rue de Kuhlendorf,,67660,03 88 54 48 07,"48,900348","7,914409",6733901
M0004,Grand Est,Bas-Rhin,Haguenau,musee alsacien,"1, place Joseph Thierry",,67500,03 88 06 59 99,"48,814611","7,789527",6718002
M0006,Grand Est,Bas-Rhin,Molsheim,musee de la chartreuse,"4, cour des Chartreux",,67120,03 88 38 10 95,"48,54278","7,49023",6730001
M0008,Grand Est,Bas-Rhin,Niederbronn-les-Bains,maison de l'archeologie des Vosges du Nord,"44, avenue Foch",,67110,03 88 80 36 37,"48,947444","7,650428",6732401
M0015,Grand Est,Bas-Rhin,Strasbourg,musee archeologique,2 place du Chateau,"Palais Rohan, Strasbourg Cedex",67000,03 68 98 74 90,"48,581229","7,751984",6748202
M1162,Grand Est,Bas-Rhin,Wingen-sur-Moder,musee Lalique,"40, rue du Hochberg",,67290,03 88 89 08 14,"48,927033","7,361922",6753801
M0003,Grand Est,Bas-Rhin,Bouxwiller,musee du pays de Hanau - histoire et vies d'un territoire,3 place du Chateau,HALLE AUX BLES,67330,03 88 00 38 39,"48,824977","7,482915",6706101
M0013,Grand Est,Bas-Rhin,Strasbourg,cabinet des estampes et des dessins,"5, place du Chateau",,67076,03 68 98 74 96,"48,581236641","7,7505443271",6748205
M0017,Grand Est,Bas-Rhin,Strasbourg,musee de l'Œuvre Notre-Dame,"3, place du Chateau",,67076,03 68 98 61 50,"48,58097","7,75151",6748206
M0001,Grand Est,Bas-Rhin,Barr,musee de la Folie Marco,"30, rue du docteur Sultzer",,67140,03 88 08 94 72,"48,410166","7,451102",6702101
M1098,Grand Est,Bas-Rhin,Strasbourg,musee Tomi Ungerer,"2, avenue de la Marseillaise",Villa Greiner,67000,03 68 98 51 53,"48,585747","7,755028",6748213
M7071,Grand Est,Bas-Rhin,Strasbourg,musee zoologique de l'universite Louis Pasteur et de la ville de Strasbourg,29 Boulevard de la Victoire,,67000,03 68 85 04 85,"48,582707","7,764645",6748210
M0320,Grand Est,Haute-Marne,Langres,Maison des Lumieres Denis Diderot,1 place Pierre Burelle,,52200,03 25 86 86 86,"47,866417","5,331753",5226901
M0318,Grand Est,Haute-Marne,Chaumont,musee de l'affiche,1 Place Emile Goguenheim,Ancienne Banque de France,52000,03 25 35 79 01,"48,110756","5,135234",5212102
M0319,Grand Est,Haute-Marne,Chaumont,musee des beaux-arts et d'archeologie,place du Palais,,52000,03 25 03 01 99,"48,112482","5,137331",5212101
M0317,Grand Est,Haute-Marne,Bourbonne-les-Bains,musee municipal,Parc du chateau,,52400,03.25.90.69.47,"47,942274","5,732204",5206001
M0321,Grand Est,Haute-Marne,Langres,musee d'art et d'histoire,Place du centenaire,,52200,03 25 86 86 86,"47,865268","5,333286",5226902
M0322,Grand Est,Haute-Marne,Nogent-en-Bassigny,musee de la coutellerie,Place Charles de Gaulle,,52800,03 25 31 89 21,"48,02758","5,341424",5235301
M0323,Grand Est,Haute-Marne,Saint-Dizier,musee municipal,17 rue de la Victoire,,52115,03 25 07 31 50,"48,6380412293","4,9482777334",5244801
M0027,Grand Est,Haut-Rhin,Colmar,musee Bartholdi,"30, rue des Marchands",,68000,03 89 41 90 60,"48,076747","7,357746",6806603
M0028,Grand Est,Haut-Rhin,Colmar,musee d'Unterlinden,Place Unterlinden,,68000,03 89 20 15 50,"48,079918","7,355464",6806601
M0037,Grand Est,Haut-Rhin,Mulhouse,musee de l'impression sur etoffes,"14, rue Jean-Jacques Henner",,68072,03 89 46 83 00,"47,7450194242","7,3453795805",6822402
M0040,Grand Est,Haut-Rhin,Neuf-Brisach,musee Vauban,Porte de Belfort,,68600,03 89 72 03 93,"48,016144","7,525674",6823101
M0048,Grand Est,Haut-Rhin,Ungersheim,ecomusee d'Alsace,BP 71,,68190,03 89 74 44 74,"47,878584","7,304447",6834301
M0034,Grand Est,Haut-Rhin,Mulhouse,musee historique,Place de la Reunion,,68100,03 89 33 78 17,"47,746642","7,338434",6822408
M0041,Grand Est,Haut-Rhin,Oltingue,musee paysan,10 rue Principale,,68480,03 89 40 79 24,"47,492827","7,391275",6824801
M0043,Grand Est,Haut-Rhin,Riquewihr,musee du Dolder,"57, rue du General-de-Gaulle",,68340,03 89 58 44 08,"48,166916","7,297406",6827702
M0031,Grand Est,Haut-Rhin,Kaysersberg,musee historique,"64, rue du general de Gaulle",,68240,03 89 78 11 11,"48,139072","7,261441",6816201
M0036,Grand Est,Haut-Rhin,Mulhouse,musee français du chemin de fer,"2, rue Alfred de Glehn",,68200,03 89 42 83 33 / 25 67,"47,732372","7,312824",6822405
M0039,Grand Est,Haut-Rhin,Mulhouse,musee Electropolis,55 rue du Paturage,,68200,03 89 32 48 50,"47,749441","7,295058",6822404
M7033,Grand Est,Haut-Rhin,Colmar,museum d'histoire naturelle et d'ethnographie,"11, rue Turenne",,68000,03 89 23 84 15,"48,073594","7,35872",6806602
M0025,Grand Est,Haut-Rhin,Biesheim,musee gallo-romain,Place de la Mairie,Le Capitole,68600,03 89 72 01 58,"48,041667","7,54802",6803601
M0026,Grand Est,Haut-Rhin,Cernay,musee de la porte de Thann,rue de Thann,,68700,03 89 75 54 10 (mairie),"47,809586","7,174264",6806301
M0029,Grand Est,Haut-Rhin,Guebwiller,musee Theodore Deck et des pays du Florival,"1, rue du quatre fevrier",Maison canoniale dite « Le Doyenne »,68500,03 89 74 22 89,"47,905522","7,214504",6811201
M0030,Grand Est,Haut-Rhin,Huningue,musee historique et militaire,"6, rue des Boulangers",,68330,03 89 69 17 80,"47,591513","7,584985",6814901
M0033,Grand Est,Haut-Rhin,Mulhouse,musee des beaux-arts,4 place Guillaume Tell,Maison Steinbach,68100,03 89 33 78 11,"47,745774","7,338271",6822401
M0035,Grand Est,Haut-Rhin,Mulhouse,musee national de l'automobile - collection Schlumpf,"192, avenue de Colmar - BP 1096",,68051,03 89 33 23 23,"47,761614167","7,3278935253",6822403
M0038,Grand Est,Haut-Rhin,Mulhouse,musee du sapeur-pompier,12-14 Rue de Luppach,VIEUX-FERRETTE,68480,06 11 68 75 13,"47,504301","7,304287",6834701
M0044,Grand Est,Haut-Rhin,Rixheim,musee du papier peint,"28, rue Zuber",La commanderie,68170,03 89 64 24 56,"47,744135","7,397424",6827801
M0024,Grand Est,Haut-Rhin,Altkirch,musee sundgauvien,"1, rue de l'Hotel de Ville",,68130,03 89 40 01 94,"47,623329","7,237204",6800401
M0032,Grand Est,Haut-Rhin,Kientzheim,musee du vignoble et des vins d'Alsace,9 rue de l'Ours,Chateau de la confrerie Saint-Etienne,68770,03 89 78 21 36,"48,126069","7,280128",6816401
M0047,Grand Est,Haut-Rhin,Thann,"musee de la societe d'histoire ""les amis de Thann""","24, rue Saint-Thiebaut",,68800,03 89 37 14 54,"47,812283","7,101737",6833401
M7047,Grand Est,Haut-Rhin,Mulhouse,musee mineralogique de la societe industrielle de Mulhouse,"3, avenue Alfred-Werner",Ecole de Chimie,68100,03 89 33 68 88,"47,73132","7,310303",6822409
M0309,Grand Est,Marne,Epernay,musee municipal,"13, avenue de Champagne",Chateau Perrier,51200,03 26 55 03 56,"49,042901","3,961379",5123001
M0311,Grand Est,Marne,Reims,musee des beaux-arts de Saint-Denis,"8, rue Chanzy",Ancienne abbaye de Saint-Denis,51100,03 26 35 36 00,"49,253442","4,030921",5145401
M0314,Grand Est,Marne,Reims,musee du vieux Reims,36 Place du Forum,Hotel Le Vergeur,51100,03 26 47 20 75,"49,257013","4,034043",5145405
M1178,Grand Est,Marne,Chalons-en-Champagne,musee du cloître de Notre-Dame-en-Vaux,,,51000,,"48,956391","4,364203",5110804
M0308,Grand Est,Marne,Chalons-en-Champagne,musee Garinet,"13, rue Pasteur",,51000,03 26 69 38 53,"48,955859","4,366501",5110803
M0310,Grand Est,Marne,Pourcy,ecomusee de la montagne de Reims,Rue du pre Michaux,Parc Naturel Regional Montagne de Reims,51160,03 26 59 44 44,"49,112985","4,029412",5144501
M0312,Grand Est,Marne,Reims,musee Saint-Remi,"53, rue Simon",Ancienne abbaye,51100,03 26 35 36 90,"49,243111","4,040351",5145404
M0307,Grand Est,Marne,Chalons-en-Champagne,musee municipal,,place Godart,51000,03 26 69 38 53,"48,956391","4,364203",5110801
M0315,Grand Est,Marne,Sainte-Menehould,musee de l'Argonne Viard-Morel,Place Leclerc,,51800,03 26 60 62 97,"49,092086","4,897997",5150702
M0313,Grand Est,Marne,Reims,musee de l'ancien college des jesuites,"1, place Museux",,51100,03 26 85 51 50,"49,246527","4,040071",5145407
M1080,Grand Est,Meurthe-et-Moselle,Pont-a-Mousson,"musee ""Au fil du papier""",13 rue Magot-de-Rogeville,Hotel de la Monnaie,54700,03 83 87 80 14,"48,901615","6,056259",5443101
M0510,Grand Est,Meurthe-et-Moselle,Longwy,musee municipal des emaux et faïence,,Porte de France,54400,03 82 23 85 19,"49,519776","5,760104",5432301
M0512,Grand Est,Meurthe-et-Moselle,Nancy,musee des beaux-arts,"3, place Stanislas",,54000,03 83 85 30 72,"48,693507","6,182435",5439506
M0513,Grand Est,Meurthe-et-Moselle,Nancy,musee de l'Ecole de Nancy,36-38 rue du Sergent Blandan,,54000,03 83 85 30 01,"48,680494","6,166351",5439501
M7048,Grand Est,Meurthe-et-Moselle,Nancy,museum-aquarium de Nancy,34 rue Sainte-Catherine,,54000,03 83 32 99 97,"48,695072","6,188467",5439502
M0507,Grand Est,Meurthe-et-Moselle,Deneuvre,musee Les sources d'Hercule,1 place Jean Marie Keyser,,54120,03 83 75 22 82,"48,446385","6,734719",5415401
M0508,Grand Est,Meurthe-et-Moselle,Laneuville-devant-Nancy,chateau de Montaigu,167 rue Lucien Galtier,,54410,03 83 15 27 70,"48,665792","6,215554",5430001
M0509,Grand Est,Meurthe-et-Moselle,Jarville-la-Malgrange,musee de l'histoire du fer,"1, avenue du General de Gaulle",,54140,03 83 15 27 70,"48,666588","6,208769",5427401
M0511,Grand Est,Meurthe-et-Moselle,Luneville,musee du chateau,place de la 2eme D.C.,Chateau de Luneville,54300,03 83 76 04 75,"48,589446","6,505708",5432901
M0514,Grand Est,Meurthe-et-Moselle,Nancy,musee historique lorrain,64 Grande Rue,Palais ducal - eglise des Cordeliers,54000,03 83 85 30 01,"48,697316","6,179154",5439504
M0515,Grand Est,Meurthe-et-Moselle,Toul,musee d'art et d'histoire,25 rue Gouvion Saint-Cyr,,54200,03 83 64 13 38,"48,678544","5,89134",5452801
M0522,Grand Est,Meuse,Stenay,musee de la biere et du pays de Stenay,17 rue du Moulin,,55700,03 29 80 68 78,"49,48769","5,186786",5550202
M0524,Grand Est,Meuse,Vaucouleurs,musee Jeanne d'Arc,rue Jeanne d'Arc,Hotel de ville,55140,03 29 89 51 82,"48,602652","5,666",5553301
M0521,Grand Est,Meuse,Sampigny,musee departemental Raymond Poincare,14 rue du chateau,Le Clos,55300,03 29 90 70 50,"48,827583","5,50824",5546701
M0523,Grand Est,Meuse,Varennes-en-Argonne,musee d'Argonne,9 rue Louis XVI,,55270,03 29 80 71 14,"49,226057","5,033072",5552701
M0517,Grand Est,Meuse,Bar-le-Duc,musee barrois,Esplanade du Chateau,,55000,03 29 76 14 67,"48,771797","5,156074",5502901
M0518,Grand Est,Meuse,Commercy,musee de la ceramique et de l'ivoire,7 avenue Carcano,,55200,03 29 92 04 77,"48,76331","5,58962",5512201
M0519,Grand Est,Meuse,Montmedy,musee Jules Bastien-Lepage - musee de la fortification,La Citadelle,,55600,03 29 80 15 90,"49,523594","5,348511",5535101
M0525,Grand Est,Meuse,Verdun,musee de la Princerie,16 rue de La Belle Vierge,,55100,03 29 86 10 62,"49,161059","5,382439",5554501
M0520,Grand Est,Meuse,Saint-Mihiel,musee d'art sacre de la Meuse,1 Rue du Palais de Justice,,55300,03 29 89 06 47,"48,88855","5,541165",5546301
M0528,Grand Est,Moselle,Meisenthal,maison du verre et du cristal,Place Robert Schuman,,57960,03 87 96 91 51,"48,964935","7,352438",5745601
M0530,Grand Est,Moselle,Neufchef (Hayange),musee des mines de fer de Lorraine,2 rue du musee,Mine de Neufchef-Hayange,57700,03 82 85 76 55,"49,325904","6,027572",5730601
M0531,Grand Est,Moselle,Phalsbourg,musee militaire et Erckmann-Chatrian,place d'Armes,Hotel de ville,57370,03 87 24 41 20,"48,766548","7,259055",5754001
M0532,Grand Est,Moselle,Sarrebourg,musee du pays de Sarrebourg,Rue de la Paix,,57400,03 87 08 08 68,"48,734975","7,055253",5763001
M1089,Grand Est,Moselle,Petite-Rosselle,musee de la mine - carreau Wendel,"Parc Explor Wendel, Musee Les Mineurs Wendel",,57540,03 87 87 08 54,"49,20684","6,848979",5753701
M0529,Grand Est,Moselle,Metz,musees de la Cour d'or,2 rue du Haut-Poirier,,57000,03 87 20 13 20,"49,121051","6,177978",5746302
M0534,Grand Est,Moselle,Thionville,musee de la Tour-aux-Puces,Cour du Chateau,Thionville cedex,57125,03 82 82 25 52,"49,3581709673","6,1692670032",5767201
M1085,Grand Est,Moselle,Vic-sur-Seille,musee departemental Georges de la Tour,Place Jeanne d'Arc,,57630,03 87 78 05 30,"48,781787","6,531429",5771201
M0526,Grand Est,Moselle,Gravelotte,musee de la guerre de 1870,11 rue de Metz,,57130,03 87 33 69 40,"49,113679","6,029871",5725601
M0527,Grand Est,Moselle,Marsal,musee du sel,Porte de France,,57630,03 87 35 01 50,"48,788503","6,606549",5744801
M0533,Grand Est,Moselle,Sarreguemines,musee de la faïence et des techniques faïencieres,15-17 rue Poincare,,57200,03 87 98 93 50,"49,109069","7,070473",5763102
M0536,Grand Est,Vosges,Epinal,musee departemental d'art ancien et contemporain,1 place de Lagarde,,88000,03 29 82 20 33,"48,17326","6,446595",8816001
M0541,Grand Est,Vosges,Remiremont,musee Charles Friry,12 rue du General Humbert,,88200,03 29 62 59 13,"48,015174","6,590031",8838302
M0542,Grand Est,Vosges,Saint-Die-des-Vosges,musee Pierre Noël - musee de la vie dans les Hautes-Vosges,Place Georges Trimouille,,88100,03 29 51 60 35,"48,295658","6,947961",8841301
M0538,Grand Est,Vosges,Mirecourt,musee de la lutherie,Cours Stanislas,,88503,03 29 37 81 59,"48,3015928288","6,13544044",8830401
M0540,Grand Est,Vosges,Remiremont,musee Charles de Bruyeres,70 rue Charles de Gaulle,,88200,03 29 62 59 14,"48,016142","6,593289",8838301
M0537,Grand Est,Vosges,Epinal,musee de l'image,42 quai Dogneville,,88000,03 29 81 48 30,"48,183628","6,445992",8816002
M0539,Grand Est,Vosges,Plombieres-les-Bains,musee Louis Français,30 avenue Louis Français,,88370,03 29 66 00 24,"47,964095","6,458494",8835101
M0784,Hauts-de-France,Aisne,Chateau-Thierry,musee Jean de la Fontaine,12 rue Jean de La Fontaine,,02400,03 23 69 05 60,"49,046927","3,400289",0216801
M0788,Hauts-de-France,Aisne,Hirson,musee - centre de documentation Alfred Desmasures,,impasse du chateau,02500,03 23 98 77 42,"49,921047","4,083876",0238101
M0790,Hauts-de-France,Aisne,Laon,musee archeologique municipale,32 rue Georges-Ermant,,02000,03 23 22 87 00,"49,563206","3,626781",0240802
